State,Condition Group,Condition,Age Group,COVID-19 Deaths,Number of Mentions,Broad Condition Group
Arizona,Obesity,Obesity,4,429,429,0
Arizona,Obesity,Obesity,5,381,382,0
Arizona,Obesity,Obesity,6,146,147,0
Arizona,Obesity,Obesity,7,30,30,0
Arizona,Alzheimer disease,Alzheimer disease,0,0,0,0
Arizona,Alzheimer disease,Alzheimer disease,1,0,0,0
Arizona,Alzheimer disease,Alzheimer disease,2,0,0,0
Arizona,Alzheimer disease,Alzheimer disease,5,60,60,0
Arizona,Alzheimer disease,Alzheimer disease,6,211,211,0
Arizona,Alzheimer disease,Alzheimer disease,7,451,451,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,0,0,0,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,1,0,0,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,2,0,0,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,3,0,0,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,4,20,20,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,5,111,111,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,6,443,443,0
Arizona,Vascular and unspecified dementia,Vascular and unspecified dementia,7,767,767,0
Arizona,Renal failure,Renal failure,0,11,12,0
Arizona,Renal failure,Renal failure,1,40,41,0
